374603617,"13101 HARTFIELD AVENUE","SAN DIEGO","CA",92130
374600488,"18655 WEST BERNARDO DRIVE","SAN DIEGO","CA",92127
374602801,"13101 HARTFIELD AVE","SAN DIEGO","CA",92130
374603600,"POMERADO RD","SAN DIEGO","CA",92131
374600675,"8515 COSTA VERDE BLVD","SAN DIEGO","CA",92122
374603167,"3474 ANGWIN DRIVE","SAN DIEGO","CA",92123
374603886,"3125 OCCIDENTAL STREET","SAN DIEGO","CA",92122
374603162,"6207 ACORN STREET","SAN DIEGO","CA",92115
374603163,"6217 ACORN STREET","SAN DIEGO","CA",92115
374603714,"10603 RANCHO BERNARDO ROAD","SAN DIEGO","CA",92127
374603584,"2440 GRAND AVENUE","SAN DIEGO","CA",92109
374600916,"10251 TRAILS END CIRCLE","SAN DIEGO","CA",92126
374603208,"8536 MENKAR ROAD","SAN DIEGO","CA",92126
374602452,"8235 HYDRA LANE","SAN DIEGO","CA",92126
374603129,"10003 KIBLER DRIVE","SAN DIEGO","CA",92126
374603563,"8554 CAPRICORN WAY","SAN DIEGO","CA",92126
374603755,"8554 CAPRICORN WAY","SAN DIEGO","CA",92126
374603135,"8243 HYDRA LANE","SAN DIEGO","CA",92126
374602745,"10163 EMBASSY WAY","SAN DIEGO","CA",92126
374603442,"11178 DEL DIABLO WAY","SAN DIEGO","CA",92129
374602158,"3511 SPARLING ST","SAN DIEGO","CA",92115
374602566,"8488 PARKBROOK STREET","SAN DIEGO","CA",92114
374601199,"3505 SPARLING STREET","SAN DIEGO","CA",92115
374603547,"8110 TWILIGHT POINT WAY","SAN DIEGO","CA",92127
374602633,"12979 RANCHO PENASQUITOS BLVD","SAN DIEGO","CA",92129
374603560,"12979 RANCHO PENASQUITOS BLVD","SAN DIEGO","CA",92129
374603560,"12979 RANCHO PENASQUITOS BLVD","SAN DIEGO","CA",92129
374603284,"7141 BULLOCK DRIVE","SAN DIEGO","CA",92114
374602996,"15206 FALCON CREST COURT","SAN DIEGO","CA",92127
374600890,"5308 MONROE AVENUE","SAN DIEGO","CA",92115
374603501,"5874 HONORS DRIVE","SAN DIEGO","CA",92122
374601793,"3271 INNUIT AVE","SAN DIEGO","CA",92117
374603463,"9312 TWIN MOUNTAIN CIRCLE","SAN DIEGO","CA",92126
374600108,"1966 PARADISE STREET","SAN DIEGO","CA",92114
374601909,"10265 SALUDA AVE","SAN DIEGO","CA",92126
374601609,"6396 LAKE DECATUR AVENUE","SAN DIEGO","CA",92119
374602488,"6860 CONDON DRIVE","SAN DIEGO","CA",92122
374603322,"6396 LAKE DECATUR AVENUE","SAN DIEGO","CA",92119
374603323,"6860 CONDON DRIVE","SAN DIEGO","CA",92122
374600295,"5289 LODI STREET","SAN DIEGO","CA",92117
374602814,"4520 PACIFIC RIVIERA WAY","SAN DIEGO","CA",92154
374601348,"3219 CANON ST","SAN DIEGO","CA",92106
374603289,"3219 CANON STREET","SAN DIEGO","CA",92106
374603660,"3219 CANON STREET","SAN DIEGO","CA",92106
374601056,"13075 EVENING CREEK DR SOUTH","SAN DIEGO","CA",92128
374603279,"13075 EVENING CREEK DR SOUTH","SAN DIEGO","CA",92128
374600129,"8933 BOGATA CR.","SAN DIEGO","CA",92126
374603743,"17109 BOTERO DRIVE","SAN DIEGO","CA",92127
374601727,"10165 WESTONHILL DR","SAN DIEGO","CA",92126
374600735,"5219 CLAIREMONT MESA BLVD.","SAN DIEGO","CA",92117
374600845,"2921 MURAT STREET","SAN DIEGO","CA",92117
372002165,"8031 MONTARA AVENUE","SAN DIEGO","CA",92126
374600479,"3737 31ST STREET","SAN DIEGO","CA",92104
374601032,"4735 CALLE DE VIDA","SAN DIEGO","CA",92124
374602000,"4745 CALLE DE VIDA","SAN DIEGO","CA",92124
374600511,"4224 EMET COURT","SAN DIEGO","CA",92117
374601180,"7241 CANYON HILL COURT","SAN DIEGO","CA",92126
374602316,"11075 POLARIS DRIVE","SAN DIEGO","CA",92126
374602181,"11171 BATAVIA CIR","SAN DIEGO","CA",92126
372004738,"4282 BALBOA AVENUE","SAN DIEGO","CA",92117
374602335,"7057 BROOKHAVEN RD","SAN DIEGO","CA",92114
374600732,"3427 BEAGLE PLACE","SAN DIEGO","CA",92111
370804866,"1924 REO DRIVE","SAN DIEGO","CA",92139
372004242,"2073 HANFORD DRIVE","SAN DIEGO","CA",92111
372004506,"2091 HANFORD DRIVE","SAN DIEGO","CA",92111
374603750,"14740 VIA FIESTA","SAN DIEGO","CA",92127
374603786,"17737 HUNTERS RIDGE ROAD","SAN DIEGO","CA",92127
374600276,"5581 CHATTANOOGA","SAN DIEGO","CA",92139
374600980,"7766 PRAIRIE MOUND WAY","SAN DIEGO","CA",92139
374602485,"310 35TH STREET","SAN DIEGO","CA",92102
374602201,"6173 ADELAIDE AVE","SAN DIEGO","CA",92115
374601097,"4290 LAYLA WAY","SAN DIEGO","CA",92154
374601285,"1039 SANTA BARBARA STREET","SAN DIEGO","CA",92107
374603877,"1332 LEAF TERRACE","SAN DIEGO","CA",92114
374602807,"3476 IDLEWILD WAY","SAN DIEGO","CA",92117
374600372,"4171 CAMINO DEL RIO SOUTH","SAN DIEGO","CA",92108
374603677,"2189 CROWNHILL ROAD","SAN DIEGO","CA",92109
374602700,"4518 54TH STREET","SAN DIEGO","CA",92115
374600165,"11279 WESTONHILL DRIVE","SAN DIEGO","CA",92126
374603290,"9431 REAGAN ROAD","SAN DIEGO","CA",92126
374603470,"9431 REAGAN RD","SAN DIEGO","CA",92126
374602935,"2996 DARDAINA","SAN DIEGO","CA",92139
374600305,"6452 PLAZA RIDGE ROAD","SAN DIEGO","CA",92114
374600994,"6288 WENRICH DRIVE","SAN DIEGO","CA",92120
374601375,"5615 ASHLAND AVENUE","SAN DIEGO","CA",92120
374602061,"6667 WANDERMERE CT","SAN DIEGO","CA",92120
374601438,"7232 GLENFLORA AVENUE","SAN DIEGO","CA",92119
374602751,"6655 CRAMPTON COURT","SAN DIEGO","CA",92119
374600926,"303 DALEGROVE LANE","SAN DIEGO","CA",92114
374600294,"2690 COWLEY WAY","SAN DIEGO","CA",92110
374603303,"10166 LONE DOVE STREET","SAN DIEGO","CA",92127
374603338,"10136 ZAPATA AVENUE","SAN DIEGO","CA",92126
374603029,"13858 KERRY LANE","SAN DIEGO","CA",92130
374602415,"10136 ZAPATA AVENUE","SAN DIEGO","CA",92126
374600272,"3990 COLDWELL LANE","SAN DIEGO","CA",92154
374602549,"3423 CHANNEL WAY","SAN DIEGO","CA",92110
374600431,"2558 MOBLEY STREET","SAN DIEGO","CA",92123
374603580,"13101 HARTFIELD AVENUE","SAN DIEGO","CA",92130
374601468,"8738 COVINA STREET","SAN DIEGO","CA",92126
374601469,"8748 COVINA STREET","SAN DIEGO","CA",92126
374602732,"5327 QUINCE STREET","SAN DIEGO","CA",92105
374601594,"11244 GANESTA DRIVE","SAN DIEGO","CA",92126
374600245,"2875 MORNINGSIDE STREET","SAN DIEGO","CA",92139
374600688,"2847 MORNINGSIDE STREE","SAN DIEGO","CA",92139
374600169,"3941 LIGGETT DRIVE","SAN DIEGO","CA",92106
372004900,"3586 CHASEWOOD DRIVE","SAN DIEGO","CA",92111
374600403,"11423 WESTONHILL DRIVE","SAN DIEGO","CA",92126
374603318,"11423 WESTONHILL DRIVE","SAN DIEGO","CA",92126
374603114,"17067 COYOTE BUSH DRIVE","SAN DIEGO","CA",92127
374602367,"1334 VINCA WAY","SAN DIEGO","CA",92114
374603212,"6461 QUILLAN STREET","SAN DIEGO","CA",92111
374602877,"2239 CRANDALL DRIVE","SAN DIEGO","CA",92111
374602679,"10197 SPRING MANOR COURT","SAN DIEGO","CA",92126
374602369,"3223 DUKE STREET","SAN DIEGO","CA",92110
374601775,"2555 HOPKINS ST","SAN DIEGO","CA",92139
374602062,"7541 MILKY WAY POINT","SAN DIEGO","CA",92120
374602598,"7029 HILLSBORO STREET","SAN DIEGO","CA",92120
370804165,"6255 MCHANEY COURT","SAN DIEGO","CA",92114
374600103,"2204 GROVEVIEW ROAD","SAN DIEGO","CA",92139
374603056,"11249 ANTILLA PLACE","SAN DIEGO","CA",92126
370804407,"2360 ALBATROSS ST.","SAN DIEGO","CA",92101
374603715,"2360 ALBATROSS STREET","SAN DIEGO","CA",92101
374602755,"5651 DOROTHY WAY","SAN DIEGO","CA",92115
374602806,"6811 FUJI STREET","SAN DIEGO","CA",92139
374602275,"4905 WYCONDA LN","SAN DIEGO","CA",92113
374603333,"336 WINEWOOD STREET","SAN DIEGO","CA",92114
374601811,"10264 AMBASSADOR AVE","SAN DIEGO","CA",92126
374603180,"4075 54TH STREET","SAN DIEGO","CA",92105
374600523,"4075 54TH STREET","SAN DIEGO","CA",92105
374602597,"6045 REO PLACE","SAN DIEGO","CA",92139
