col0,elder_pop_2020_55_64,elder_pop_2020_65_74,elder_pop_2020_75_84,elder_pop_2020_85_and_over,elder_pop_2020_55_and_over
Central San Diego,25040,15964,7410,3872,52286
Mid-City,15968,10043,4452,2045,32508
Southeast San Diego,19774,13031,5675,2291,40771
East,68746,48489,21629,10546,149410
Alpine,2638,2078,799,409,5924
El Cajon,15694,12147,5446,2445,35732
Harbison Crest,2723,2159,944,458,6284
Jamul,3428,2117,833,329,6707
La Mesa,8477,6598,3605,2294,20974
Laguna-Pine Valley,1160,769,311,224,2464
Lakeside,8312,6110,2515,1069,18006
Lemon Grove,4115,2502,1269,497,8383
Mountain Empire,1037,802,406,293,2538
Santee,8905,5877,2394,1146,18322
Spring Valley,12257,7330,3107,1382,24076
North Central,91801,70970,31746,14913,209430
Coastal,11487,10218,4911,2786,29402
Del Mar-Mira Mesa,28222,16572,5502,2408,52704
Elliott-Navajo,14832,13003,6154,2455,36444
Kearny Mesa,22188,18819,9799,4006,54812
Miramar,2,0,0,0,2
Peninsula,7800,5880,2802,1829,18311
University,7270,6478,2578,1429,17755
North Coastal,69105,48531,24923,12671,155230
Carlsbad,20053,15330,8820,4596,48799
Oceanside,19349,14387,7716,3577,45029
Pendleton,36,28,3,0,67
San Dieguito,18121,11063,4523,2601,36308
Vista,11546,7723,3861,1897,25027
North Inland,81739,58834,27253,15764,183590
Anza-Borrego Springs,698,788,468,303,2257
Escondido,19356,13888,5840,3237,42321
Fallbrook,6453,5885,2914,1392,16644
North San Diego,18043,11519,5412,3391,38365
Palomar-Julian,1303,1208,600,334,3445
Pauma,750,412,245,244,1651
Poway,14898,9639,3787,1946,30270
Ramona,5739,3598,1502,650,11489
San Marcos,10453,8215,4704,3315,26687
Valley Center,4046,3682,1781,952,10461
South,62780,43249,19574,8323,133926
Chula Vista,12393,9577,5212,2522,29704
Coronado,2710,2788,1322,911,7731
National City,5660,4061,2316,886,12923
South Bay,19415,12622,5457,1997,39491
Sweetwater,22602,14201,5267,2007,44077
